#
#
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.118266;87.836700;24.099300;-2.595210;1.118711;3.070800;0.000000
0.236453;87.734901;24.039200;-2.621346;10.118095;3.068100;-0.068331
0.355379;87.631599;23.981800;-2.628284;-0.009349;3.086600;0.461383
0.474848;87.527702;23.922400;-2.623634;0.009975;3.103500;0.423641
0.593878;87.424004;23.863501;-2.625888;-0.071504;3.088000;-0.388400
0.710952;87.320602;23.805000;-2.640895;-0.121438;3.068900;-0.476752
0.828045;87.218597;23.751101;-2.654071;-0.051383;3.057100;-0.295654
0.947980;87.113701;23.695299;-2.652958;-0.021387;3.081200;0.602935
1.069107;87.006798;23.638500;-2.659113;-0.071093;3.102500;0.532198
1.190551;86.899101;23.582899;-2.670212;-0.135663;3.105400;0.072541
1.314374;86.790398;23.528200;-2.691675;-0.149455;3.116700;0.282709
1.439087;86.676102;23.475201;-2.707524;-0.048470;3.141300;0.613554
1.562582;86.564102;23.423300;-2.703843;-0.021175;3.161900;0.515980
1.687499;86.452400;23.370501;-2.712689;-0.144696;3.177200;0.382559
1.815019;86.336899;23.319401;-2.739537;-0.176705;3.181300;0.102598
1.942953;86.217697;23.270700;-2.758247;-0.117049;3.189800;0.184600
2.069934;86.099602;23.223700;-2.769633;-0.103046;3.197600;0.223777
2.197171;85.981102;23.178400;-2.784303;-0.116871;3.207600;0.250465
2.326425;85.861198;23.134701;-2.799168;-0.119756;3.220400;0.324033
2.457596;85.737602;23.091600;-2.815255;-0.135575;3.239400;0.473361
2.587233;85.612701;23.050600;-2.835206;-0.005861;3.276500;0.933601
2.709742;85.490402;23.013399;-2.815453;0.052273;3.181300;-2.372308
2.831126;85.380600;22.972099;-2.823621;-0.314340;3.093000;-2.216795
2.958849;85.259804;22.937500;-2.888356;-0.270484;3.102400;0.235370
3.089737;85.133301;22.908100;-2.895787;0.049262;3.166700;1.608763
3.214867;85.005898;22.873800;-2.874712;0.039125;3.333300;4.166271
3.324194;84.891899;22.842100;-2.888735;-0.204576;3.381400;1.197526
3.425116;84.794197;22.819099;-2.919810;-0.204187;3.317300;-2.135273
3.542831;84.695000;22.797701;-2.926288;-0.087890;3.384100;2.238979
3.660991;84.564201;22.768801;-2.941370;-0.049516;3.405100;0.525015
3.768417;84.463402;22.750700;-2.937715;-0.017053;3.441200;1.196831
3.877616;84.353798;22.725300;-2.945274;-0.383004;3.492800;1.715515
3.981058;84.249199;22.708099;-3.025814;-0.513878;3.515700;0.771233
4.084066;84.148300;22.701401;-3.047287;-0.015342;3.502100;-0.337672
4.192543;84.044098;22.688700;-3.029813;-0.004757;3.553500;1.729209
4.301927;83.932701;22.677200;-3.047292;-0.159721;3.591900;1.271780
4.408337;83.826302;22.668100;-3.065394;-0.200586;3.605000;0.437039
4.514182;83.720497;22.660999;-3.089608;-0.235474;3.610900;0.167356
4.619015;83.614899;22.657101;-3.115363;-0.252238;3.549300;-2.496153
4.722665;83.510902;22.655500;3.140627;-0.085725;3.552900;0.120455
4.834969;83.407600;22.657301;-3.133576;-0.042004;3.641100;2.948553
4.946123;83.286301;22.653700;3.131700;-0.309969;3.556300;-2.816309
5.062674;83.185303;22.659500;3.083218;-0.308427;3.566400;0.337219
5.194909;83.053596;22.667299;3.060586;-0.151759;3.597000;0.764579
5.317152;82.921700;22.680901;3.038744;-0.186337;3.569600;-0.685107
5.437796;82.810402;22.692400;3.016520;-0.872289;3.513600;-1.852563
5.754858;82.682297;22.711000;2.944941;-0.154627;3.500800;-0.319843
6.316102;82.188499;22.816299;2.904911;-0.039626;3.895500;1.109489
6.679102;81.591103;22.974199;2.871088;-0.119570;3.814400;-120.623300
6.790485;81.488899;23.010300;2.758336;-1.888701;3.890000;3.180653
6.910751;81.384499;23.057501;2.708256;-0.270582;3.937900;1.213759
7.035219;81.270599;23.111300;2.690164;-0.329676;3.946200;0.205815
7.153468;81.160500;23.166100;2.622126;-0.478442;3.938400;-0.194538
7.271981;81.065300;23.228701;2.580619;-0.111929;3.885200;-1.324550
7.393593;80.959801;23.292200;2.595113;0.183295;3.956200;1.788924
7.512310;80.857498;23.355101;2.626319;0.058163;3.818800;-3.441821
7.629675;80.753197;23.409201;2.607957;-0.741003;3.846900;0.698945
7.745440;80.655403;23.474501;2.449785;-1.023829;3.917300;1.758777
7.857493;80.574898;23.556900;2.369784;-0.646871;4.059400;3.559422
7.974114;80.494797;23.630800;2.309785;-0.336630;3.953800;-2.647869
8.091650;80.417801;23.729300;2.289045;-0.202342;3.905500;-0.969360
8.199953;80.340103;23.807800;2.259752;-0.501569;3.863400;-1.056305
8.305873;80.280098;23.896500;2.181086;-0.540295;3.818200;-1.126659
8.415001;80.218697;23.981400;2.147979;-0.732262;3.712300;-2.654054
8.528977;80.161003;24.079399;2.025411;-1.169155;3.359700;-6.985785
8.642096;80.118599;24.186199;1.874252;-1.291374;3.389900;0.604436
8.752697;80.093399;24.295300;1.730126;-0.580839;3.455600;1.313696
8.859493;80.083504;24.404600;1.749196;-0.306503;3.492700;0.923038
8.969242;80.055496;24.505501;1.666179;-1.491215;3.382400;-2.220308
9.084740;80.062599;24.623100;1.429628;-1.302265;3.536700;3.056159
9.193966;80.087997;24.734200;1.346913;-0.654452;3.837700;7.627529
9.300799;80.111099;24.836100;1.290037;-2.521319;3.976000;3.475853
9.397537;80.147202;24.939501;0.730538;-2.999203;4.022200;1.147964
9.497537;80.255203;24.965200;0.736225;2.457719;4.063100;4.064996
9.615240;80.295403;25.073799;1.161898;1.252245;4.082600;0.487521
9.735384;80.348801;25.181200;1.106971;-0.430600;4.069900;-0.318048
9.860501;80.402901;25.288700;1.059244;-0.443800;4.142700;1.816222
9.976268;80.471298;25.399401;0.988675;-1.109673;4.191700;1.231801
10.090204;80.530197;25.482100;0.804002;-0.969627;4.264300;2.399841
10.207562;80.629402;25.563499;0.770624;0.184557;4.293100;0.960523
10.316275;80.698601;25.645599;0.852453;0.236838;4.351300;1.921039
10.427557;80.772499;25.727200;0.816551;1.355902;4.380100;0.967073
10.539901;80.850998;25.807800;1.156726;1.320403;4.419300;1.317697
10.653486;80.862900;25.932899;1.123273;-1.858550;4.475500;1.120156
10.772044;80.949303;26.012600;0.741240;-2.173579;4.542000;2.178291
10.881754;81.037804;26.093000;0.569421;-0.896896;4.617300;2.574209
10.993535;81.134102;26.130899;0.557608;0.707834;4.617200;-0.005001
11.117440;81.227501;26.211300;0.711433;1.174868;4.711400;3.163558
11.227894;81.321800;26.292700;0.883828;0.953256;4.747600;1.206621
11.338921;81.367599;26.382099;0.901883;-0.657968;4.773900;0.860876
11.464276;81.459503;26.466900;0.756054;-0.446175;4.818900;1.519172
11.590396;81.550003;26.554100;0.772795;-0.729158;4.855100;1.200503
11.731776;81.640099;26.643000;0.592910;-0.494121;4.866100;0.361972
11.870801;81.784500;26.712099;0.613138;0.789220;4.781300;-2.842366
11.993074;81.867500;26.802999;0.841229;1.546417;4.740600;-1.365547
12.109295;81.947502;26.894400;0.968956;0.657659;4.754300;0.456300
12.223425;81.999100;26.994600;0.988157;-0.382785;4.763500;0.305733
12.340485;82.073097;27.084999;0.883719;-0.381354;4.795900;1.082046
12.456563;82.147598;27.175600;0.896179;0.541179;4.773300;-0.750041
12.581656;82.218102;27.266300;1.001296;0.407976;4.756900;-0.544875
12.706552;82.282501;27.386299;1.006011;-0.279687;4.691400;-1.628019
12.820862;82.351799;27.477301;0.924427;-0.911922;4.791700;3.376893
12.946466;82.420197;27.568800;0.815511;-0.441916;4.767700;-0.802871
13.073166;82.524002;27.660200;0.803527;0.277329;4.707600;-2.026742
13.189946;82.596100;27.751200;0.892780;0.368068;4.783400;2.515769
13.312107;82.670502;27.842100;0.882512;-0.026309;4.780500;-0.096479
13.434382;82.751297;27.939899;0.885897;0.059755;4.805600;0.833325
13.551864;82.825203;28.031500;0.897587;-0.101253;4.812200;0.219489
13.669338;82.897797;28.123600;0.861619;-0.093066;4.784900;-0.920912
13.785994;82.978203;28.209801;0.875815;0.452367;4.753900;-1.032541
13.903243;83.047203;28.302799;0.966727;0.482514;4.720800;-1.087293
14.018859;83.111397;28.402800;0.989872;0.039387;4.771200;1.695671
14.129776;83.174103;28.496099;0.974900;-0.060887;4.737300;-1.130719
14.239690;83.235901;28.586399;0.977018;-0.352228;4.681200;-1.879685
14.361012;83.297096;28.678301;0.904870;-0.263308;4.722400;1.368715
14.482961;83.385803;28.777201;0.906281;0.323409;4.842800;3.984792
14.594415;83.447502;28.870300;0.991152;0.484562;4.850500;0.256072
14.701364;83.507896;28.963699;1.007058;0.034638;4.834300;-0.535411
14.809115;83.561798;29.051100;0.997960;-0.057662;4.760900;-2.477073
14.925610;83.624702;29.144800;0.994819;-0.080003;4.755500;-0.181515
15.043430;83.688698;29.246500;0.979260;-0.010296;4.844000;2.964601
15.169448;83.756104;29.340401;0.991374;0.041695;4.807400;-1.215356
15.294578;83.826698;29.457399;0.990552;0.836365;4.684700;-3.059190
15.406677;83.893303;29.549700;1.227323;1.182865;4.737000;1.750016
15.518640;83.902199;29.668501;1.230688;-1.050647;4.787300;1.652601
15.633347;83.968002;29.760799;0.995601;-0.974108;4.803400;0.535917
15.748006;84.027000;29.861000;0.999482;-0.191853;4.785300;-0.607623
15.861749;84.092003;29.953699;0.951200;-1.559187;4.810000;0.831061
15.982775;84.159103;30.046200;0.659451;-1.127061;4.820000;0.332839
16.103944;84.283302;30.101999;0.656970;1.063783;4.819300;-0.034662
16.222393;84.350998;30.194201;0.926469;1.092982;4.785600;-1.132972
16.342736;84.425598;30.291401;0.913244;0.066316;4.794700;0.299190
16.457911;84.498100;30.384701;0.943527;0.140615;4.851100;1.855744
16.572776;84.560799;30.477900;0.944283;1.294892;4.880800;1.001168
16.687473;84.632797;30.570801;1.245996;1.295549;4.814600;-2.232019
16.802343;84.634003;30.695299;1.245593;-1.278010;4.756700;-1.441087
16.916453;84.706200;30.788500;0.945967;-1.330872;4.736000;-0.689468
17.029691;84.767502;30.880400;0.939315;-0.899113;4.749100;0.437119
17.186784;84.839897;30.971300;0.796886;-0.297716;4.760500;0.383801
17.343723;84.987099;31.105101;0.805677;0.308035;4.768700;0.271936
17.459475;85.057297;31.197701;0.925118;0.685609;4.846800;2.582200
17.575286;85.126404;31.290001;0.922284;-0.110716;4.779100;-2.271505
17.692189;85.197197;31.382299;0.899684;-0.026817;4.760700;-0.612676
17.807547;85.271797;31.473101;0.916017;0.764565;4.706000;-1.812466
17.914696;85.337700;31.565300;1.088973;0.870812;4.818700;3.774817
18.022109;85.371101;31.663000;1.090301;-0.678185;4.754700;-2.127134
18.135922;85.436996;31.755800;0.951103;-0.276372;4.789500;1.164128
18.254903;85.503304;31.848301;1.016230;0.254901;4.820200;1.008035
18.374708;85.562302;31.958099;1.014644;-0.352810;4.785700;-1.156368
18.491167;85.629799;32.051800;0.929195;-0.343520;4.788400;0.089982
18.608512;85.701698;32.144699;0.936921;0.094097;4.765500;-0.763758
18.724628;85.768799;32.240898;0.951490;0.032240;4.706700;-1.993926
18.839135;85.836502;32.333801;0.944153;0.730337;4.712300;0.185988
18.960509;85.903099;32.426399;1.109721;0.630627;4.780900;2.305398
19.082197;85.944504;32.551201;1.107324;-0.614472;4.876800;3.186918
19.197518;86.011902;32.644100;0.951412;-0.769041;4.736000;-4.680619
19.313594;86.078400;32.738998;0.937979;-0.104367;4.805400;2.310160
19.429986;86.149200;32.831299;0.927125;-0.505678;4.762200;-1.437923
19.542152;86.218102;32.925201;0.815980;-0.562909;4.755500;-0.218729
19.653648;86.302902;32.994701;0.804729;0.477607;4.738000;-0.597753
19.768799;86.372704;33.085899;0.919060;0.113591;4.686700;-1.688132
19.899455;86.442596;33.177799;0.844695;-0.293688;4.677200;-0.315649
20.031627;86.546204;33.281300;0.833560;0.174013;4.740300;2.100105
20.149497;86.620300;33.373501;0.897526;0.292761;4.815300;2.502779
20.267299;86.693199;33.465599;0.894862;-0.024866;4.779800;-1.196658
20.384956;86.767700;33.557301;0.891665;0.022421;4.785100;0.175460
20.501939;86.841003;33.648701;0.900191;0.058697;4.738100;-1.555442
20.618635;86.913101;33.740601;0.905362;0.201463;4.821900;2.816078
20.735987;86.985100;33.832298;0.946976;0.196831;4.754500;-2.248432
20.853612;87.050201;33.931099;0.951793;-0.115697;4.911800;5.257054
20.970665;87.121597;34.023899;0.919607;-0.515309;4.860900;-1.709951
21.088882;87.192101;34.117298;0.832065;-0.368537;4.930300;2.296460
21.207025;87.280800;34.198700;0.831500;0.359905;4.774100;-5.200317
21.324231;87.351303;34.291901;0.917899;0.352299;4.772700;-0.046705
21.441580;87.423203;34.384899;0.913505;-0.051161;4.816100;1.434066
21.559497;87.494698;34.477699;0.905923;-0.494983;4.797600;-0.628070
21.680001;87.568703;34.570499;0.798874;-0.454544;4.859300;2.049566
21.800954;87.662804;34.650398;0.793895;0.361817;4.886300;0.893073
21.920690;87.738297;34.743000;0.887457;0.438840;4.888300;0.066577
22.039000;87.814003;34.836102;0.898301;0.045887;4.822000;-2.177069
22.156808;87.885696;34.928101;0.898184;-0.059159;4.831600;0.326178
22.275799;87.960800;35.020401;0.884500;-0.239500;4.756100;-2.482921
22.392932;88.036499;35.112202;0.840349;-0.178412;4.774800;0.625394
22.509411;88.117104;35.194901;0.843406;0.173668;4.781700;0.227549
22.627248;88.191399;35.286201;0.880367;0.142502;4.800100;0.626418
22.743492;88.267197;35.376598;0.877384;0.028711;4.787600;-0.418664
22.859456;88.339996;35.465000;0.887106;0.007651;4.812000;0.815624
22.977852;88.413696;35.556400;0.879298;-0.061350;4.915300;3.460055
23.096602;88.490997;35.647400;0.872439;0.144212;4.803200;-3.728966
23.233929;88.566399;35.738300;0.907977;0.183322;4.802000;-0.039859
23.371400;88.660004;35.863899;0.927584;0.026167;4.801700;-0.009985
23.490602;88.731300;35.958302;0.913294;-0.058761;4.825500;0.768015
23.609449;88.805702;36.052601;0.915772;0.122005;4.861100;1.197153
23.725791;88.876099;36.146801;0.942861;0.062342;4.803800;-1.932558
23.838930;88.942398;36.240898;0.929325;-0.014547;4.754100;-1.657281
23.951179;89.011497;36.328098;0.940036;1.056883;4.723400;-1.030170
24.067066;89.074799;36.422199;1.161202;0.960653;4.780400;1.903103
24.182664;89.103798;36.540699;1.171397;-0.704907;4.830400;1.657226
24.295692;89.164703;36.635201;0.993325;-0.846248;4.821100;-0.309799
24.408519;89.227203;36.730099;0.983169;-0.007463;4.742600;-2.604339
24.520351;89.289803;36.823002;0.991734;-0.028867;4.709800;-1.088255
24.633357;89.349602;36.917301;0.976792;-0.275892;4.826900;3.984232
24.749876;89.416298;37.010300;0.930641;-0.255243;4.909300;2.744659
24.868624;89.488800;37.104198;0.916180;-0.459741;4.946800;1.243919
24.991506;89.560898;37.198700;0.824250;-0.366942;4.905800;-1.363186
25.114418;89.655701;37.284599;0.822781;0.423784;4.791000;-3.828001
25.232412;89.728104;37.378899;0.933053;0.619187;4.764300;-0.898279
25.348334;89.796204;37.474201;0.965105;0.196354;4.689600;-2.494392
25.463351;89.860100;37.569500;0.978112;0.682936;4.848500;5.274286
25.586716;89.924698;37.665001;1.112763;0.620704;4.799300;-1.639299
25.708540;89.969200;37.790798;1.141107;-0.289331;4.908600;2.744846
25.821209;90.026199;37.886501;1.033646;-0.522528;4.648600;-8.624387
25.934519;90.084503;37.984402;1.031881;-0.356319;4.853800;6.822225
26.043064;90.142502;38.081001;0.949325;-0.455770;4.800600;-1.773299
26.151817;90.210899;38.160900;0.936489;0.284396;4.938800;4.637256
26.265069;90.271400;38.256199;1.008253;0.307094;4.779200;-5.317255
26.377976;90.331703;38.352501;1.008959;0.049422;4.752600;-0.875136
26.490322;90.391701;38.447300;1.019464;-0.040144;4.799600;1.557240
26.603220;90.449402;38.543900;0.999982;-0.244625;4.809000;0.318442
26.717660;90.513702;38.637299;0.964608;-0.329135;4.960500;5.076386
26.831570;90.579803;38.731998;0.923966;-0.241491;4.872200;-2.943522
26.946338;90.651001;38.819099;0.909874;0.145079;4.961100;2.967128
27.067965;90.720703;38.913200;0.954510;0.149039;4.760600;-6.681480
27.190403;90.791603;39.017601;0.948698;-0.129146;4.832700;2.399541
27.311644;90.863403;39.112202;0.922588;-0.130347;4.825700;-0.223282
27.433368;90.938004;39.210899;0.917367;0.311090;4.872900;1.628017
27.555693;91.011398;39.305500;0.997991;0.439395;4.844500;-0.935013
27.675787;91.070602;39.416500;1.025861;0.002293;4.773000;-2.411917
27.791467;91.135902;39.510899;0.996961;-0.018262;4.788800;0.526788
27.906092;91.196198;39.610802;1.022974;0.176807;4.891100;3.415248
28.018615;91.255302;39.706600;1.037525;0.119739;4.865800;-0.848219
28.130110;91.310600;39.804600;1.049762;0.063825;4.836900;-0.960855
28.240562;91.366302;39.900002;1.051663;0.108093;4.809500;-0.906999
28.350748;91.420197;39.996399;1.073677;0.097561;4.859400;1.648575
28.461140;91.471397;40.093700;1.073113;-0.051235;4.916500;1.918268
28.572183;91.525597;40.190399;1.062427;-0.280620;4.909100;-0.249738
28.686625;91.579498;40.287701;1.012243;-0.234781;4.899500;-0.318405
28.802315;91.646896;40.384499;1.007232;0.314938;4.945900;1.545019
28.921177;91.703102;40.483299;1.083055;0.280761;4.980600;1.155490
29.040706;91.758301;40.594501;1.076108;-0.089639;4.939300;-1.375665
29.161353;91.816597;40.693699;1.061722;-0.098243;4.928700;-0.353730
29.283046;91.875900;40.805199;1.052350;-0.176411;4.946900;0.607646
29.402367;91.937202;40.905102;1.018029;-0.167483;4.924300;-0.753083
29.520350;92.001198;41.008301;1.013001;-0.071516;4.900700;-0.779809
29.634317;92.062103;41.105301;1.000795;-0.115432;4.863900;-1.232800
29.748642;92.124199;41.200199;0.987162;-0.076155;4.801900;-2.056605
29.861039;92.188103;41.296101;0.983274;-0.377715;4.768200;-1.121629
29.982659;92.248802;41.387299;0.908390;-0.336682;4.588700;-6.065195
30.101569;92.337700;41.487900;0.895344;0.092515;4.435300;-3.805531
30.204384;92.397499;41.572899;0.936233;0.068748;4.238000;-6.561253
30.319319;92.459602;41.653500;0.906583;-0.177439;4.061100;-5.973042
30.444818;92.539200;41.753899;0.893516;-0.238937;3.844000;-5.451258
30.557168;92.616898;41.849098;0.839865;-0.242958;3.624300;-5.475044
30.662471;92.689201;41.921200;0.845529;0.312578;3.244500;-9.496256
