#
#
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000;87.836700;24.099300;-2.884275;0.740133;3.110476;-0.035704
0.064952;87.774086;24.082028;-2.860576;0.223666;3.076625;-0.031996
0.129884;87.711919;24.063281;-2.837452;0.346989;3.046483;-0.028358
0.194832;87.650175;24.043134;-2.815519;0.328316;3.019910;-0.024857
0.259828;87.588830;24.021660;-2.794797;0.309277;2.996769;-0.021494
0.324897;87.527860;23.998929;-2.775299;0.290012;2.976922;-0.018269
0.390062;87.467241;23.975017;-2.757031;0.270642;2.960230;-0.015183
0.455340;87.406949;23.949995;-2.739997;0.251270;2.946557;-0.012234
0.520744;87.346960;23.923937;-2.724195;0.231976;2.935763;-0.009423
0.586283;87.287251;23.896915;-2.709620;0.212825;2.927710;-0.006751
0.651964;87.227797;23.869001;-2.696266;0.193864;2.922261;-0.004216
0.717787;87.168575;23.840270;-2.684124;0.175126;2.919278;-0.001819
0.783753;87.109561;23.810794;-2.673183;0.156631;2.918622;0.000439
0.849859;87.050730;23.780645;-2.663434;0.138386;2.920156;0.002560
0.916099;86.992060;23.749896;-2.654865;0.120390;2.923742;0.004542
0.982464;86.933526;23.718621;-2.647466;0.102634;2.929240;0.006387
1.048947;86.875103;23.686892;-2.641227;0.085100;2.936515;0.008093
1.115534;86.816770;23.654782;-2.636139;0.067766;2.945426;0.009661
1.182215;86.758500;23.622363;-2.632194;0.050606;2.955837;0.011092
1.248974;86.700272;23.589709;-2.629384;0.033590;2.967610;0.012384
1.315799;86.642060;23.556893;-2.627705;0.016686;2.980605;0.013538
1.382674;86.583840;23.523987;-2.627152;-0.000140;2.994686;0.014555
1.449585;86.525590;23.491064;-2.627723;-0.016921;3.009715;0.015433
1.516516;86.467284;23.458197;-2.629417;-0.033692;3.025552;0.016173
1.583453;86.408900;23.425459;-2.632234;-0.050485;3.042061;0.016775
1.650381;86.350413;23.392922;-2.636176;-0.067331;3.059103;0.017239
1.717287;86.291799;23.360660;-2.641246;-0.084258;3.076540;0.017566
1.784158;86.233035;23.328745;-2.647449;-0.101292;3.094234;0.017754
1.850984;86.174096;23.297251;-2.654790;-0.118451;3.112047;0.017804
1.917755;86.114959;23.266249;-2.663276;-0.135750;3.129841;0.017716
1.984462;86.055599;23.235813;-2.672912;-0.153197;3.147478;0.017490
2.051100;85.995994;23.206016;-2.683706;-0.170792;3.164820;0.017126
2.117666;85.936118;23.176931;-2.695664;-0.188526;3.181730;0.016624
2.184159;85.875949;23.148630;-2.708792;-0.206242;3.198068;0.015984
2.250581;85.815462;23.121186;-2.723077;-0.221060;3.213697;0.015208
2.316937;85.754634;23.094670;-2.738144;-0.227839;3.228483;0.014346
2.383238;85.693460;23.069107;-2.753300;-0.226753;3.242389;0.013489
2.449493;85.631950;23.044484;-2.768199;-0.222883;3.255461;0.012681
2.515715;85.570114;23.020784;-2.782824;-0.218823;3.267751;0.011924
2.581912;85.507965;22.997990;-2.797173;-0.214678;3.279309;0.011218
2.648094;85.445513;22.976087;-2.811242;-0.210461;3.290186;0.010563
2.714269;85.382768;22.955058;-2.825027;-0.206184;3.300434;0.009958
2.780444;85.319743;22.934887;-2.838529;-0.201858;3.310103;0.009405
2.846625;85.256447;22.915558;-2.851744;-0.197496;3.319244;0.008903
2.912819;85.192892;22.897054;-2.864671;-0.193106;3.327908;0.008451
2.979030;85.129089;22.879360;-2.877311;-0.188699;3.336146;0.008050
3.045263;85.065048;22.862458;-2.889663;-0.184283;3.344009;0.007701
3.111522;85.000782;22.846334;-2.901727;-0.179866;3.351547;0.007402
3.177809;84.936300;22.830970;-2.913503;-0.175455;3.358813;0.007154
3.244127;84.871613;22.816350;-2.924993;-0.171058;3.365856;0.006957
3.310477;84.806734;22.802458;-2.936197;-0.166679;3.372728;0.006811
3.376860;84.741672;22.789279;-2.947117;-0.162325;3.379479;0.006716
3.443278;84.676438;22.776795;-2.957754;-0.158000;3.386160;0.006672
3.509728;84.611044;22.764990;-2.968111;-0.153708;3.392823;0.006679
3.576212;84.545501;22.753849;-2.978188;-0.149452;3.399519;0.006737
3.642727;84.479819;22.743354;-2.987988;-0.145235;3.406297;0.006846
3.709272;84.414010;22.733491;-2.997513;-0.141059;3.413210;0.007005
3.775843;84.348084;22.724242;-3.006766;-0.136927;3.420307;0.007216
3.842439;84.282052;22.715591;-3.015748;-0.132840;3.427641;0.007477
3.909056;84.215926;22.707522;-3.024462;-0.128798;3.435261;0.007789
3.975689;84.149716;22.700019;-3.032911;-0.124802;3.443220;0.008153
4.042336;84.083434;22.693065;-3.041096;-0.120853;3.451567;0.008567
4.108990;84.017089;22.686645;-3.049021;-0.116950;3.460353;0.009032
4.175647;83.950694;22.680742;-3.056688;-0.113093;3.469631;0.009548
4.242301;83.884260;22.675340;-3.064098;-0.109280;3.479449;0.010115
4.308946;83.817796;22.670423;-3.071255;-0.105511;3.489860;0.010733
4.375576;83.751315;22.665974;-3.078161;-0.101784;3.500915;0.011402
4.442184;83.684827;22.661977;-3.084818;-0.098099;3.512664;0.012121
4.508763;83.618342;22.658416;-3.091227;-0.095323;3.525158;0.012892
4.575307;83.551873;22.655275;-3.097508;-0.096471;3.538448;0.013696
4.641806;83.485429;22.652553;-3.104063;-0.103171;3.552550;0.014474
4.708258;83.419016;22.650287;-3.111226;-0.112747;3.567396;0.015177
4.774658;83.352640;22.648519;-3.119042;-0.122722;3.582904;0.015797
4.841002;83.286307;22.647294;-3.127517;-0.132765;3.598991;0.016336
4.907289;83.220024;22.646653;-3.136652;-0.142872;3.615575;0.016792
4.973517;83.153795;22.646639;3.136735;-0.153038;3.632574;0.017166
5.039688;83.087627;22.647296;3.126271;-0.163254;3.649907;0.017459
5.105803;83.021526;22.648666;3.115138;-0.173508;3.667492;0.017669
5.171866;82.955498;22.650792;3.103337;-0.183784;3.685245;0.017797
5.237880;82.889549;22.653717;3.090865;-0.194064;3.703086;0.017843
5.303852;82.823684;22.657484;3.077724;-0.204324;3.720932;0.017807
5.369790;82.757911;22.662136;3.063914;-0.214539;3.738701;0.017690
5.435704;82.692233;22.667716;3.049438;-0.224678;3.756311;0.017490
5.501605;82.626659;22.674266;3.034300;-0.234705;3.773680;0.017208
5.567506;82.561193;22.681830;3.018507;-0.244582;3.790727;0.016844
5.633424;82.495841;22.690450;3.002064;-0.254265;3.807368;0.016398
5.699375;82.430610;22.700169;2.984982;-0.263708;3.823522;0.015870
5.765380;82.365506;22.711030;2.967272;-0.272860;3.839107;0.015260
5.831459;82.300533;22.723076;2.948948;-0.281668;3.854041;0.014567
5.897638;82.235699;22.736351;2.930026;-0.290075;3.868242;0.013793
5.963943;82.171009;22.750896;2.910526;-0.298024;3.881628;0.012937
6.030403;82.106470;22.766754;2.890469;-0.305457;3.894116;0.011999
6.097048;82.042086;22.783970;2.869879;-0.312314;3.905626;0.010979
6.163913;81.977865;22.802584;2.848783;-0.318538;3.916074;0.009876
6.231033;81.913811;22.822641;2.827212;-0.324074;3.925378;0.008692
6.298447;81.849932;22.844183;2.805198;-0.328870;3.933458;0.007426
6.366195;81.786233;22.867254;2.782776;-0.332880;3.940229;0.006077
6.434321;81.722719;22.891895;2.759984;-0.336063;3.945612;0.004647
6.502870;81.659397;22.918150;2.736862;-0.338385;3.949523;0.003134
6.571890;81.596274;22.946062;2.713451;-0.339822;3.951880;0.001540
6.641429;81.533353;22.975673;2.689794;-0.340357;3.952602;-0.000137
6.711541;81.470643;23.007027;2.665938;-0.339983;3.951607;-0.001895
6.782279;81.408148;23.040166;2.641927;-0.338415;3.948811;-0.003736
6.853698;81.345875;23.075134;2.617845;-0.334043;3.944134;-0.005645
6.925839;81.283842;23.111959;2.593965;-0.326410;3.937521;-0.007528
6.998640;81.222138;23.150595;2.570504;-0.318183;3.929078;-0.009277
7.072004;81.160879;23.190964;2.547422;-0.311589;3.918967;-0.010863
7.145832;81.100180;23.232991;2.524607;-0.306983;3.907351;-0.012287
7.220024;81.040157;23.276600;2.501950;-0.304261;3.894393;-0.013547
7.294481;80.980926;23.321715;2.479347;-0.303353;3.880257;-0.014644
7.369103;80.922600;23.368260;2.456696;-0.304218;3.865105;-0.015579
7.443790;80.865296;23.416160;2.433894;-0.306846;3.849100;-0.016350
7.518444;80.809129;23.465339;2.410840;-0.311252;3.832405;-0.016959
7.592968;80.754214;23.515720;2.387430;-0.317481;3.815183;-0.017404
7.667267;80.700668;23.567227;2.363559;-0.325601;3.797597;-0.017687
7.741247;80.648604;23.619786;2.339117;-0.335711;3.779810;-0.017806
7.814817;80.598139;23.673319;2.313990;-0.347937;3.761984;-0.017763
7.887890;80.549387;23.727752;2.288057;-0.362434;3.744284;-0.017557
7.960380;80.502465;23.783008;2.261194;-0.379384;3.726871;-0.017187
8.032209;80.457487;23.839011;2.233264;-0.399000;3.709909;-0.016655
8.103300;80.414569;23.895685;2.204125;-0.421525;3.693561;-0.015960
8.173584;80.373826;23.952955;2.173625;-0.447227;3.677989;-0.015102
8.242997;80.335374;24.010744;2.141601;-0.476396;3.663357;-0.014081
8.311484;80.299328;24.068978;2.107880;-0.509337;3.649827;-0.012897
8.378997;80.265803;24.127579;2.072279;-0.546355;3.637562;-0.011550
8.445498;80.234914;24.186471;2.034607;-0.587734;3.626727;-0.010040
8.510962;80.206778;24.245580;1.994666;-0.633709;3.617482;-0.008367
8.575375;80.181508;24.304829;1.952253;-0.684423;3.609992;-0.006532
8.638737;80.159222;24.364143;1.907169;-0.739865;3.604419;-0.004533
8.701066;80.140033;24.423444;1.859223;-0.799803;3.600926;-0.002371
8.762397;80.124058;24.482658;1.808243;-0.863689;3.599676;-0.000047
8.822786;80.111412;24.541709;1.754091;-0.930562;3.600833;0.002441
8.882313;80.102210;24.600520;1.696677;-0.998954;3.604558;0.005091
8.941081;80.096567;24.659016;1.635978;-1.066797;3.611016;0.007905
8.999219;80.094599;24.717121;1.572061;-1.126187;3.620368;0.010881
9.056886;80.096420;24.774759;1.505723;-1.154887;3.632778;0.013974
9.114286;80.102077;24.831880;1.439414;-1.138113;3.648317;0.017032
9.171666;80.111449;24.888489;1.375339;-1.090933;3.666842;0.019933
9.229254;80.124394;24.944603;1.314192;-1.030969;3.688182;0.022661
9.287248;80.140771;25.000238;1.256326;-0.963637;3.712164;0.025217
9.345818;80.160435;25.055408;1.201966;-0.892264;3.738615;0.027600
9.405103;80.183245;25.110129;1.151225;-0.819686;3.767364;0.029811
9.465215;80.209059;25.164416;1.104119;-0.748132;3.798238;0.031850
9.526241;80.237734;25.218285;1.060592;-0.679216;3.831063;0.033716
9.588243;80.269127;25.271752;1.020531;-0.614006;3.865669;0.035410
9.651261;80.303097;25.324831;0.983789;-0.553112;3.901883;0.036931
9.715317;80.339500;25.377538;0.950196;-0.496796;3.939531;0.038280
9.780416;80.378194;25.429889;0.919573;-0.445067;3.978443;0.039456
9.846546;80.419037;25.481899;0.891737;-0.397760;4.018444;0.040461
9.913682;80.461886;25.533583;0.866511;-0.354600;4.059364;0.041292
9.981789;80.506599;25.584957;0.843729;-0.315251;4.101029;0.041952
10.050820;80.553033;25.636036;0.823231;-0.279349;4.143267;0.042439
10.120719;80.601047;25.686836;0.804875;-0.246522;4.185906;0.042753
10.191424;80.650496;25.737371;0.788529;-0.216405;4.228774;0.042895
10.262864;80.701240;25.787659;0.774078;-0.188652;4.271697;0.042865
10.334965;80.753136;25.837713;0.761418;-0.162935;4.314504;0.042662
10.407647;80.806040;25.887549;0.750461;-0.138946;4.357022;0.042287
10.480824;80.859812;25.937184;0.741129;-0.116401;4.399078;0.041740
10.554409;80.914307;25.986631;0.733358;-0.095030;4.440501;0.041020
10.628312;80.969385;26.035907;0.727098;-0.074583;4.481118;0.040128
10.702440;81.024901;26.085027;0.722306;-0.054820;4.520756;0.039063
10.776697;81.080715;26.134007;0.718956;-0.035510;4.559244;0.037826
10.850988;81.136683;26.182861;0.717027;-0.016429;4.596408;0.036416
10.925216;81.192663;26.231605;0.716515;0.002647;4.632076;0.034834
10.999284;81.248513;26.280256;0.717423;0.021945;4.666076;0.033080
11.073094;81.304089;26.328827;0.719767;0.041697;4.698236;0.031153
11.146550;81.359251;26.377335;0.723575;0.062147;4.728383;0.029054
11.219556;81.413854;26.425795;0.728885;0.082285;4.756345;0.026783
11.292019;81.467758;26.474222;0.735561;0.097395;4.781948;0.024371
11.363872;81.520857;26.522631;0.742949;0.104073;4.805086;0.021937
11.435129;81.573154;26.571030;0.750454;0.105949;4.825821;0.019582
11.505813;81.624669;26.619429;0.757985;0.107097;4.844250;0.017322
11.575949;81.675421;26.667838;0.765533;0.108124;4.860466;0.015157
11.645561;81.725429;26.716264;0.773093;0.109025;4.874563;0.013085
11.714674;81.774713;26.764716;0.780655;0.109793;4.886637;0.011109
11.783312;81.823293;26.813204;0.788214;0.110422;4.896781;0.009226
11.851499;81.871189;26.861737;0.795761;0.110905;4.905089;0.007438
11.919259;81.918420;26.910323;0.803288;0.111237;4.911657;0.005745
11.986616;81.965006;26.958972;0.810788;0.111415;4.916578;0.004145
12.053594;82.010966;27.007693;0.818252;0.111433;4.919948;0.002640
12.120216;82.056321;27.056493;0.825673;0.111288;4.921859;0.001230
12.186506;82.101089;27.105383;0.833041;0.110979;4.922407;-0.000086
